ciiu_id/.id,city_id/.id,tax_id/.id
1062,Valledupar,5
1063,Valledupar,5
1071,Valledupar,5
1072,Valledupar,5
1081,Valledupar,5
1082,Valledupar,5
1083,Valledupar,5
1084,Valledupar,5
1089,Valledupar,5
1521,Valledupar,7
1522,Valledupar,7
1020,Valledupar,5
1040,Valledupar,5
1420,Valledupar,7
1430,Valledupar,7
5811,Valledupar,7
2410,Valledupar,7
2431,Valledupar,7
2432,Valledupar,7
2910,Valledupar,7
2920,Valledupar,7
2930,Valledupar,7
3011,Valledupar,7
3012,Valledupar,7
3020,Valledupar,7
3091,Valledupar,7
3092,Valledupar,7
3099,Valledupar,7
1101,Valledupar,7
1102,Valledupar,7
1103,Valledupar,7
1104,Valledupar,7
1200,Valledupar,7
1311,Valledupar,7
1312,Valledupar,7
1313,Valledupar,7
1391,Valledupar,7
1392,Valledupar,7
1393,Valledupar,7
1394,Valledupar,7
1399,Valledupar,7
1511,Valledupar,7
1512,Valledupar,7
1513,Valledupar,7
1523,Valledupar,7
1610,Valledupar,7
1620,Valledupar,7
1630,Valledupar,7
1640,Valledupar,7
1690,Valledupar,7
1701,Valledupar,7
1702,Valledupar,7
1709,Valledupar,7
1910,Valledupar,7
1921,Valledupar,7
1922,Valledupar,7
2011,Valledupar,7
2012,Valledupar,7
2013,Valledupar,7
2014,Valledupar,7
2021,Valledupar,7
2022,Valledupar,7
2023,Valledupar,7
2029,Valledupar,7
2030,Valledupar,7
2100,Valledupar,7
2211,Valledupar,7
2212,Valledupar,7
2219,Valledupar,7
2221,Valledupar,7
2229,Valledupar,7
2310,Valledupar,7
2391,Valledupar,7
2392,Valledupar,7
2393,Valledupar,7
2394,Valledupar,7
2395,Valledupar,7
2396,Valledupar,7
2399,Valledupar,7
2421,Valledupar,7
2429,Valledupar,7
2511,Valledupar,7
2512,Valledupar,7
2513,Valledupar,7
2591,Valledupar,7
2593,Valledupar,7
2599,Valledupar,7
2610,Valledupar,7
2620,Valledupar,7
2630,Valledupar,7
2640,Valledupar,7
2651,Valledupar,7
2652,Valledupar,7
2660,Valledupar,7
2670,Valledupar,7
2680,Valledupar,7
2711,Valledupar,7
2712,Valledupar,7
2720,Valledupar,7
2731,Valledupar,7
2732,Valledupar,7
2740,Valledupar,7
2750,Valledupar,7
2790,Valledupar,7
2811,Valledupar,7
2812,Valledupar,7
2813,Valledupar,7
2814,Valledupar,7
2815,Valledupar,7
2816,Valledupar,7
2817,Valledupar,7
2818,Valledupar,7
2819,Valledupar,7
2821,Valledupar,7
2822,Valledupar,7
2823,Valledupar,7
2824,Valledupar,7
2825,Valledupar,7
2826,Valledupar,7
2829,Valledupar,7
3110,Valledupar,7
3120,Valledupar,7
3210,Valledupar,7
3220,Valledupar,7
3240,Valledupar,7
3250,Valledupar,7
3290,Valledupar,7
3512,Valledupar,10
3821,Valledupar,10
3822,Valledupar,10
3830,Valledupar,10
5812,Valledupar,7
5819,Valledupar,7
5820,Valledupar,7
5911,Valledupar,7
5912,Valledupar,7
5920,Valledupar,7
3230,Valledupar,7
4631,Valledupar,6
4721,Valledupar,5
4722,Valledupar,5
4723,Valledupar,5
4729,Valledupar,5
4620,Valledupar,6
4711,Valledupar,5
4511,Valledupar,10
4512,Valledupar,10
4731,Valledupar,10
4632,Valledupar,10
4649,Valledupar,10
4724,Valledupar,10
3514,Valledupar,10
4641,Valledupar,10
4642,Valledupar,10
4643,Valledupar,10
4644,Valledupar,10
4651,Valledupar,10
4652,Valledupar,10
4653,Valledupar,7
4659,Valledupar,10
4662,Valledupar,10
4664,Valledupar,7
4665,Valledupar,10
4669,Valledupar,10
4690,Valledupar,10
4732,Valledupar,10
4741,Valledupar,10
4742,Valledupar,10
4751,Valledupar,10
4753,Valledupar,10
4754,Valledupar,10
4755,Valledupar,10
4759,Valledupar,10
4762,Valledupar,10
4769,Valledupar,10
4771,Valledupar,10
4772,Valledupar,10
4774,Valledupar,10
4775,Valledupar,10
4782,Valledupar,10
4789,Valledupar,10
4541,Valledupar,10
4645,Valledupar,6
4661,Valledupar,10
4663,Valledupar,7
4719,Valledupar,5
4752,Valledupar,7
4761,Valledupar,6
4773,Valledupar,6
4781,Valledupar,10
4791,Valledupar,10
4792,Valledupar,10
4799,Valledupar,10
6499,Valledupar,5
4911,Valledupar,10
4912,Valledupar,10
4921,Valledupar,5
4922,Valledupar,5
4923,Valledupar,5
4930,Valledupar,10
5011,Valledupar,10
5012,Valledupar,10
5021,Valledupar,10
5022,Valledupar,10
5111,Valledupar,10
5112,Valledupar,10
5121,Valledupar,10
5122,Valledupar,10
5813,Valledupar,7
6010,Valledupar,7
6020,Valledupar,7
4111,Valledupar,7
4112,Valledupar,7
4210,Valledupar,10
4220,Valledupar,10
4290,Valledupar,10
4311,Valledupar,10
4312,Valledupar,10
4321,Valledupar,10
4322,Valledupar,10
4329,Valledupar,10
4330,Valledupar,10
4390,Valledupar,10
5914,Valledupar,7
6202,Valledupar,10
3900,Valledupar,10
5511,Valledupar,10
5512,Valledupar,10
5513,Valledupar,10
5514,Valledupar,10
5519,Valledupar,10
5520,Valledupar,10
5530,Valledupar,10
5590,Valledupar,10
5611,Valledupar,10
5612,Valledupar,10
5613,Valledupar,10
5619,Valledupar,10
5621,Valledupar,10
5629,Valledupar,10
5630,Valledupar,10
8010,Valledupar,10
8020,Valledupar,10
8030,Valledupar,10
161,Valledupar,5
162,Valledupar,5
164,Valledupar,5
240,Valledupar,5
910,Valledupar,10
990,Valledupar,10
1061,Valledupar,5
1811,Valledupar,7
1812,Valledupar,7
1820,Valledupar,7
3311,Valledupar,10
3312,Valledupar,10
3313,Valledupar,10
3314,Valledupar,10
3315,Valledupar,10
3319,Valledupar,10
3320,Valledupar,10
3513,Valledupar,10
3530,Valledupar,10
3700,Valledupar,10
3811,Valledupar,10
3812,Valledupar,10
4520,Valledupar,7
4542,Valledupar,7
4610,Valledupar,7
5210,Valledupar,10
5221,Valledupar,10
5223,Valledupar,10
5224,Valledupar,10
5229,Valledupar,10
5310,Valledupar,10
5320,Valledupar,10
5913,Valledupar,7
6110,Valledupar,7
6120,Valledupar,7
6130,Valledupar,7
6190,Valledupar,7
6201,Valledupar,10
6209,Valledupar,10
6311,Valledupar,10
6312,Valledupar,10
6391,Valledupar,10
6399,Valledupar,10
6612,Valledupar,5
6613,Valledupar,5
6629,Valledupar,5
6611,Valledupar,5
6810,Valledupar,10
6820,Valledupar,10
7310,Valledupar,10
7420,Valledupar,10
7500,Valledupar,6
7710,Valledupar,10
7721,Valledupar,10
7722,Valledupar,10
7729,Valledupar,10
7730,Valledupar,10
7740,Valledupar,10
7810,Valledupar,10
7820,Valledupar,10
7830,Valledupar,10
7911,Valledupar,10
7912,Valledupar,10
7990,Valledupar,10
8110,Valledupar,10
8121,Valledupar,10
8129,Valledupar,10
8130,Valledupar,10
8211,Valledupar,10
8219,Valledupar,10
8220,Valledupar,10
8230,Valledupar,10
8291,Valledupar,10
8292,Valledupar,10
8299,Valledupar,10
8541,Valledupar,3
8542,Valledupar,3
8543,Valledupar,3
8544,Valledupar,3
8552,Valledupar,3
8553,Valledupar,3
8559,Valledupar,3
8560,Valledupar,3
8610,Valledupar,10
8720,Valledupar,10
8730,Valledupar,10
8790,Valledupar,10
9511,Valledupar,10
9512,Valledupar,10
9521,Valledupar,10
9522,Valledupar,10
9523,Valledupar,10
9524,Valledupar,10
9529,Valledupar,10
9601,Valledupar,10
9602,Valledupar,10
9603,Valledupar,10
9609,Valledupar,10
3520,Valledupar,10
3600,Valledupar,10
6910,Valledupar,10
6920,Valledupar,10
7010,Valledupar,10
7020,Valledupar,10
7110,Valledupar,7
7120,Valledupar,7
7210,Valledupar,5
7220,Valledupar,5
7320,Valledupar,10
7410,Valledupar,10
7490,Valledupar,10
8551,Valledupar,3
8621,Valledupar,10
8622,Valledupar,10
8691,Valledupar,10
8692,Valledupar,10
8699,Valledupar,10
8710,Valledupar,10
8511,Valledupar,3
8512,Valledupar,3
8513,Valledupar,3
8521,Valledupar,3
8522,Valledupar,3
8523,Valledupar,3
8530,Valledupar,3
6411,Valledupar,5
6412,Valledupar,5
6421,Valledupar,5
6422,Valledupar,5
6423,Valledupar,5
6424,Valledupar,5
6431,Valledupar,5
6491,Valledupar,5
6492,Valledupar,5
6493,Valledupar,5
6494,Valledupar,5
6495,Valledupar,5
6511,Valledupar,7
6512,Valledupar,7
6513,Valledupar,7
6514,Valledupar,7
6521,Valledupar,7
6522,Valledupar,7
6532,Valledupar,7
6619,Valledupar,5
6621,Valledupar,5
6630,Valledupar,5
6614,Valledupar,5
6615,Valledupar,5
163,Valledupar,5
6432,Valledupar,5
6531,Valledupar,7
