id,country_id,write_uid,create_uid
res_country_state_414,110,1,1
res_country_state_67,235,1,1
res_country_state_417,69,1,1
res_country_state_7,14,1,1
res_country_state_172,192,1,1
res_country_state_174,192,1,1
res_country_state_175,192,1,1
res_country_state_412,110,1,1
res_country_state_361,110,1,1
res_country_state_415,110,1,1
res_country_state_54,235,1,1
res_country_state_413,110,1,1
res_country_state_558,11,1,1
res_country_state_8,14,1,1
res_country_state_56,235,1,1
res_country_state_281,66,1,1
res_country_state_611,105,1,1
res_country_state_305,250,1,1
res_country_state_530,172,1,1
res_country_state_58,235,1,1
res_country_state_529,172,1,1
res_country_state_531,172,1,1
res_country_state_57,235,1,1
res_country_state_59,235,1,1
res_country_state_557,11,1,1
res_country_state_561,11,1,1
res_country_state_176,192,1,1
res_country_state_177,192,1,1
res_country_state_178,192,1,1
res_country_state_645,101,1,1
res_country_state_544,39,1,1
res_country_state_514,157,1,1
res_country_state_571,11,1,1
res_country_state_467,69,1,1
res_country_state_466,69,1,1
res_country_state_515,157,1,1
res_country_state_200,91,1,1
